,Molecule,Score,admet_smiles
163,EOS59131,-6.998,COc1ccc(C(=O)NCCN2CCCCC2CO)cc1Cl
164,EOS59133,-9.106,CC(=O)c1cccc(NC(=O)N2CCN3C(=O)CN(C)C(=O)C3C2)c1
165,EOS59491,-8.224,COc1cccc(C(=O)N2CCN(C(=O)Cn3nc(C)ccc3=O)CC2)c1
166,EOS59492,-7.457,CN(C)c1ccc(CN2CCC(C(O)c3nccn3C)CC2)cn1
167,EOS59136,-7.59,CO[C@@]12CC[C@@H](O)C[C@@H]1N(Cc1cccc(OCC(C)C)c1)CC2
168,EOS59495,-7.865,CCC(=O)NCc1cc2n(n1)CCN(Cc1ccc(C(F)(F)F)nc1)C2
169,EOS59138,-7.218,CC1(C)CC1C(=O)N(CCc1ccccc1)Cc1ccccn1
170,EOS59140,-8.045,CN(C)S(=O)(=O)CCCN1CCCC(c2nnc3ccccn23)C1
171,EOS59502,-7.984,CC(C)n1cnnc1CCNC(=O)CC1NC(=O)c2ccccc21
172,EOS59147,-8.757,CCN1CC2(CCN(C(=O)C(C)(C)N)CC2)CC(c2ccccc2)C1=O
173,EOS58731,-7.261,CO[C@@]12CC[C@H](OCCO)C[C@@H]1N(Cc1cccc(C)c1)CC2
174,EOS59155,-13.403,CC(C)(C)c1ccc2oc(CNC(=O)C3CCC(=O)NC(=O)N3)nc2c1
175,EOS59511,-7.595,CCCC(N)C(=O)N1CCC2(CC1)CN(CCCN(C)C1CCCCC1)C(=O)O2
176,EOS59162,-6.315,Cc1ccc(=NCCCNC(=O)CC2CCCOC2)[nH]c1
177,EOS58733,-7.552,Cc1cccc(C)c1NC(=O)NCCC1CCCOC1
178,EOS59166,-9.945,CN(C)CCN(CC1CCCO1)C(=O)CCN1CCCCCC1=O
179,EOS59167,-7.093,CC(C)CC1(CNC(=O)C2CSC(C)(C)C(=O)N2)CCC1
180,EOS58736,-8.412,CCCC(=O)N1CCCC2(CCC(=O)N(Cc3cnc(C)cn3)C2)C1
181,EOS59527,-7.681,CCCCC(=O)N1CCCC2(CCC(=O)N(Cc3cnc(C)cn3)C2)C1
182,EOS59530,-10.481,CC(C)O[C@H]1CN(C(=O)CCN2CCCCCC2=O)C[C@@H]1O
