Molecule,Score
Cc1ccc(OCCCN(C)C(=O)c2cc3n(n2)CC(O)CNC3=O)c(C)c1os,-11.512
CC1CNC(=O)CCN1C(=O)c1ccc2c(c1)CCCO2os,-11.511
CC1(C)CCN(C(=O)NC[C@H]2CCOC3(CCC3)C2)CCS1(=O)=Oos,-11.501
CCn1c(C)cc(C)c(C(=O)NCC2CCOc3ccccc3C2)c1=Oos,-11.501
CC(C)CCOc1cccc(CCNC(=O)C2CCC(=O)NC(=O)N2)c1os,-11.495
COc1cccc(CNC(=O)c2cc3n(n2)CCCN(Cc2ccccc2)C3=O)c1OCos,-11.488
Cc1cccc(CN2CCCn3nc(C(=O)NCCN(C)C)cc3C2=O)c1os,-11.487
C[C@H]1COc2ccc(CN3CCOCC3)cc2CN1C(=O)NCc1ccccc1os,-11.486
O=C(c1cc(Cl)ccc1F)N1CCCn2nc(C(O)C3CC3)cc2C1os,-11.485
O=C1CCC(C(=O)NCCOCc2ccccc2)NC(=O)N1os,-11.481
CC(C)(C)OCc1cccc(CNC(=O)NC2CCCCNC2=O)c1os,-11.473
CC(=O)c1ccccc1C(=O)N1CCOc2ccccc2C1os,-11.471
O=C(NCc1nnc2n1CCCCC2)c1ccc(=O)[nH]n1os,-11.467
O=C(NCC1CCCN(C(=O)c2nnc3n2CCCCC3)C1)c1ccsc1os,-11.466
O=C1C[C@@H](c2ccccc2)N(CCN2CCS(=O)(=O)CC2)CCN1os,-11.464
O=C1CCCCC(CNC(=O)c2cccc3nccnc23)N1os,-11.462
CC(C)N1CC(CNC(=O)N2CCOc3ccc(Cl)cc3C2)CC1=Oos,-11.457
O=C(C1=CCCCCC1)N1CCC(c2cc[nH]n2)CC1os,-11.452
Cc1c(N2CCC(C(=O)NC3CCCCCC3)CC2)c(=O)n(C)c(=O)n1-c1ccccc1os,-11.449
Cn1nc2n(c1=O)CCC(NC(=O)C1CC=CCC1)CC2os,-11.448
O=C(NCc1ccccc1Cl)NC1CCCCNC1=Oos,-11.447
O=C1CC[C@H](CC(=O)N2CCCn3c(cc4ccccc43)C2)CN1os,-11.447
CCN1CCN(CCNC(=O)c2cc3n(n2)CCCN(Cc2cccc(C)c2)C3=O)CC1os,-11.447
O=C(c1cc(Cl)c2c(c1)OCCCO2)N1CCN(CCO)CC1os,-11.44
COc1ccccc1C(=O)NCC(=O)N[C@H]1CCCOc2c(Cl)cccc21os,-11.438
O=C1CC[C@H](N2CCN(C(=O)COc3ccsc3Cl)CC2)CCN1os,-11.435
O=C(N=c1cccc[nH]1)NC1CCCCNC1=Oos,-11.43
Cn1c(CN2CCNC[C@](C)(F)C2)nc2ccccc2c1=Oos,-11.427
O=C(c1ccncn1)N1CCC2C(=O)N(Cc3ccccc3)CCN2CC1os,-11.425
COc1cc2c(=O)n(Cc3ccc(C(=O)N4CCCCCC4)cc3)c(=O)n(CC(N)=O)c2cc1OCos,-11.423
Cn1cccc1C(=O)N1CCc2c(C(N)=O)nc(-c3ccccc3)n2CC1os,-11.419
Cc1occc1C(=O)NC1CCc2nn(C)c(=O)n2CC1os,-11.416
CN(CC(=O)N[C@H]1CCCOc2ccc(F)cc21)C(=O)c1ccc(Br)o1os,-11.415
CC(C(=O)N1CCc2[nH]cnc(=O)c2CC1)c1ccccc1os,-11.415
CC(C)c1cccc(OCC(=O)NC2CCCCNC2=O)c1os,-11.413
O=C(NCc1ccccc1)NC1CCCCNC1=Oos,-11.409
CC(=O)NCCC(=O)N1CCOc2c(O)cc(-c3cccc(Cl)c3)cc2C1os,-11.408
CC(NC(=O)CNC(N)=O)c1ccc2c(c1)OCCCO2os,-11.4
CC(C)Oc1ccc(CNC(=O)NC2CCCCNC2=O)cn1os,-11.4
O=C(NCCN1CCOCC1)C1CCCCc2nnc(-c3ccccc3)n21os,-11.397
COCCCNC(=O)c1cc2n(n1)CCCN(Cc1cccc(C)c1)C2=Oos,-11.388
CC1C(=O)NCCCN1C(=O)c1ccc(CN2CCOCC2)cn1os,-11.383
CCC(=O)c1ccc(OCC(=O)NC2CCCCNC2=O)cc1os,-11.377
Cc1cccc(C(=O)NC2CCCCNC2=O)c1os,-11.374
CCn1nccc1C(=O)N1C[C@H]2CCCC(=O)N[C@H]2C1os,-11.374
Cc1cc(C)n2ncc(CN3CCCn4nc(C(O)CO)cc4C3)c2n1os,-11.374
CC(C)C(=O)Nc1ccc(C(=O)N2CCC(N3CCCOCC3)CC2)cc1os,-11.371
Cc1cc2n(n1)CCCN(C(=O)CN(C)C1CCS(=O)(=O)C1)C2os,-11.362
Cc1cc(CNC(=O)C2CCCCc3n[nH]c(=O)n32)n(C)n1os,-11.36
Cc1cccc(CNC(=O)C2(C)CCCCC(=O)N2)c1os,-11.36
O=C(COc1ccc(F)cc1F)NC1CCCCNC1=Oos,-11.352
Cc1ccc(OCC(=O)NC2CCCCNC2=O)cc1Cos,-11.348
CC1C(=O)NCCCN1Cc1nc(C2CC2)nn1Cos,-11.343
Cn1cc(C(=O)N2CCO[C@H](c3ccccc3)CC2)c(=O)n(C)c1=Oos,-11.342
NC(=O)c1cccc(CCNC2=NCCCCN2)c1os,-11.333
CC(CNC(=O)c1[nH]nc2c1CCCCC2)c1nncn1Cos,-11.331
CCc1n[nH]c(-c2ccc(C(=O)N3CCCN(C)C(=O)C3)cc2)n1os,-11.33
