,5rme_A_fpocket,5rme_B_fpocket,5rme_A_p2rank,5rme_B_p2rank,IoU
1444,8,1,1,3,0.004272
639,3,7,2,6,0.004272
2799,21,2,3,2,0.004272
3180,27,2,4,11,0.004272
631,3,6,5,3,0.004272
1941,11,3,5,6,0.004257
80,1,5,4,2,0.004257
1939,11,3,2,6,0.004257
1942,11,3,6,2,0.004257
2803,21,3,2,3,0.004257
77,1,5,2,5,0.004257
2808,21,3,6,7,0.004257
78,1,5,3,2,0.004257
1157,6,2,4,3,0.004257
1143,6,1,4,2,0.004257
1145,6,1,5,2,0.004257
1161,6,2,8,13,0.004257
2913,23,2,6,4,0.004257
629,3,6,4,13,0.004257
153,1,11,2,6,0.00424
760,3,24,2,3,0.00424
1139,6,1,2,6,0.00424
2911,23,2,2,7,0.00424
3071,25,2,4,11,0.00424
1443,8,1,1,1,0.00424
919,4,25,2,3,0.00422
2976,24,2,3,2,0.00422
530,3,1,5,3,0.00422
527,3,1,4,11,0.00422
2795,21,2,2,2,0.00422
528,3,1,4,13,0.00422
825,4,2,6,4,0.0042
630,3,6,5,2,0.0042
2798,21,2,2,10,0.0042
628,3,6,4,11,0.0042
1319,7,1,5,6,0.0042
1931,11,2,2,6,0.0042
687,3,11,2,6,0.004185
686,3,11,1,1,0.004185
2797,21,2,2,5,0.004185
1935,11,2,6,4,0.004185
2801,21,2,6,7,0.004185
773,3,25,8,12,0.004185
621,3,6,2,6,0.004185
1929,11,2,1,1,0.004185
2975,24,2,2,10,0.004166
2970,24,1,3,2,0.004166
616,3,6,1,3,0.004166
2907,23,1,2,2,0.004166
771,3,25,4,3,0.004166
966,5,2,8,13,0.004166
3183,27,2,8,13,0.004166
2796,21,2,2,3,0.00415
1937,11,3,1,1,0.00415
2967,24,1,2,3,0.00415
535,3,1,11,6,0.00415
1318,7,1,2,6,0.00415
769,3,25,3,2,0.00415
3182,27,2,8,12,0.00415
3185,27,3,4,6,0.00413
2974,24,2,2,5,0.00413
3186,27,3,4,13,0.00413
767,3,25,2,2,0.00413
529,3,1,5,2,0.00413
617,3,6,1,11,0.004116
49,1,3,2,5,0.004116
516,3,1,1,11,0.004116
56,1,3,4,11,0.004116
515,3,1,1,3,0.004116
57,1,3,4,13,0.004116
58,1,3,5,2,0.004116
59,1,3,5,3,0.004116
534,3,1,8,13,0.004116
514,3,1,1,1,0.004116
3184,27,3,4,3,0.004116
2793,21,1,3,2,0.004097
2973,24,2,2,3,0.004097
2978,24,2,6,7,0.004097
2789,21,1,2,2,0.00408
2790,21,1,2,3,0.00408
3188,27,3,8,13,0.004047
64,1,3,11,6,0.004047
74,1,4,4,3,0.004032
68,1,4,1,11,0.004032
67,1,4,1,3,0.004032
66,1,4,1,1,0.004032
3187,27,3,8,12,0.004032
45,1,3,1,3,0.004017
44,1,3,1,1,0.004017
278,2,1,5,2,0.004017
46,1,3,1,11,0.004017
63,1,3,8,13,0.004017
768,3,25,2,3,0.004017
277,2,1,4,13,0.004017
810,4,1,1,1,0.004
1928,11,1,5,6,0.003967
265,2,1,1,3,0.003937
264,2,1,1,1,0.003937
266,2,1,1,11,0.003937
1927,11,1,2,6,0.00392
1926,11,1,2,2,0.003906
71,1,4,2,5,0.003891
