,Molecule,Score,admet_smiles
149,EOS1965,-7.469,CC(NC(=O)COc1cccc(C(F)(F)F)c1)C1CCCO1
150,EOS1972,-7.154,O=C(NC(=O)c1ccccc1)NC1CCCC1
151,EOS2063,-6.37,Cc1ccc(OCCCC(=O)NC(C)C)c(C)c1
152,EOS2087,-6.824,Cc1ccccc1OCC(O)CN1CCN(C)CC1
153,EOS2089,-6.406,CC(Sc1ccccc1)C(=O)NCCCN1CCOCC1
154,EOS2104,-8.641,Cc1c(NC(=O)NCc2ccccc2)n(C)c(=O)n1-c1ccccc1
155,EOS2106,-7.047,COc1cc(C(=O)Nn2c(C)ccc2C)cc(OC)c1OC
156,EOS2205,-6.1,O=C(COc1ccc(Br)cc1Cl)NCCO
157,EOS2293,-8.246,Cc1cc(C)n(-c2nc3c(c(=O)n(CCC(C)C)c(=O)n3C)n2C)n1
158,EOS2298,-7.57,CC(=O)Nc1ccc2c(c1)nc(CN1CCN(C(=O)C(C)C)CC1)n2C
159,EOS2299,-7.638,CC1CCCN(C(=O)CCNC(=O)c2ccccc2Cl)C1
160,EOS2309,-7.039,CCc1ccccc1OC(C)C(=O)NCC1CCCO1
161,EOS2312,-6.83,CCC(Oc1cc(C)ccc1C)C(=O)NCC1CCCO1
162,EOS2252,-6.032,CC(=O)CSc1nnc2ccccn12
163,EOS2332,-7.704,CC(C(=O)NCC1COc2ccccc2O1)N1CCOCC1
164,EOS2333,-8.257,CC(C(=O)NCC1COc2ccccc2O1)N1CCCCC1
165,EOS2334,-7.793,CC(C(=O)NCC1COc2ccccc2O1)N1CCCC1
166,EOS2344,-6.677,COc1ccccc1OCCN1CCNC(C)C1
167,EOS2267,-6.353,OCCCNC(c1ccccc1)c1ccc(O)cc1
168,EOS2347,-6.445,Cc1ccccc1OCCCN1CCNC(C)C1
169,EOS2348,-6.489,COc1ccccc1OCCCN1CCNC(C)C1
170,EOS2371,-7.179,CC(NC(=O)CNC(=O)C1CCCCC1)c1ccccc1
171,EOS2467,-8.4,CO[C@@]12CC[C@H](Oc3ccccn3)C[C@@H]1N(Cc1cc(C3CC3)[nH]n1)CC2
172,EOS2472,-6.786,CN1CCN(CC(C)(C)NC(=O)N(CCO)Cc2ccccc2Cl)CC1
173,EOS2485,-7.251,COc1ccc(C(=O)NCCCn2nc(C)nc2C)c(OC)c1OC
174,EOS2487,-7.174,COCCN(Cc1cnn(C)c1)C(=O)NCC1CC12CCCCC2
175,EOS2491,-6.759,O=C(CC1CCOC1)NCCN1CCCCC1=O
176,EOS2497,-6.664,CN(C)Cc1ccccc1CN(C)C(=O)CC1CCCOC1
177,EOS2502,-7.26,COc1c(C)cc(-c2cccc(C(C)O)n2)cc1C
178,EOS2504,-8.095,O=C(C[C@@H]1C[C@@H]2C=C[C@H]1C2)N1CCC(C(=O)N2CCCCC2)CC1
179,EOS2521,-7.455,COc1ccc(C(=O)N(C)C2CCOC(C)(C)C2)c(OC)c1OC
180,EOS2526,-7.714,Cc1nc(CCNC(=O)N[C@@H](CO)c2ccccc2)nc2c1CCC2
181,EOS2662,-11.787,CC(c1ccc(C(=O)N2CCCNC(=O)C2)o1)N1CCCCC1
182,EOS2667,-7.945,Cc1ccc(C(NC(=O)CN(C)C2CCNCC2)c2cccnc2)cc1C
183,EOS2530,-7.362,CCc1cc(N(C)Cc2ccc(OC)c(OC)c2)n2nccc2n1
184,EOS2531,-7.226,CCCCN(CC#Cc1ccccc1)C(=O)c1cc(=O)n(C)c(=O)n1C
185,EOS2532,-7.939,CC(CCC(=O)NC1(c2cc(F)cc(F)c2)CC1)N1CCN(C)CC1
186,EOS2672,-5.395,CSCCC(=O)NCC1(C(C)C)CC1
187,EOS2535,-7.047,CCN(C)CC(C)CNC(=O)N1CCN(Cc2ccc(C)c(C)c2)C(=O)C1
188,EOS2673,-6.545,Cc1cc(CN(C)c2nc(C)ncc2C)ccn1
189,EOS2678,-10.895,COCCn1cc(C(O)N2CCCN(C)C3(CCN(C)CC3)C2)cc1O
190,EOS2680,-6.616,CCOc1ccnc(N2CCN(C)C(CCO)C2)n1
191,EOS2546,-7.565,CNC(=O)C1CCN(C(=O)C2(N3CCCC3)CCCCC2)C1
192,EOS2548,-7.067,CN(CC1CC(=O)N(C(C)(C)C)C1)C(=O)CN1CCCCC1=O
193,EOS2163,-7.359,CN(Cc1ccccc1)C(=O)CCn1c(O)c2c(c1O)CC=CC2
194,EOS2689,-6.786,COc1cccc(OCCCN(C)C(=O)C(c2ccccc2C)N(C)C)c1
195,EOS2693,-11.482,CCNC(=O)CN1CCc2nnc(Cc3ccccc3)n2CC1
196,EOS2556,-7.969,O=C(C1CCCN1Cc1ccccc1)N1CCN(Cc2nc[nH]n2)CC1
197,EOS2696,-10.274,Cc1ccsc1C(CNC(=O)CCN1CCCCCC1=O)N(C)C
198,EOS2563,-8.727,CN1C(=O)CC(C(=O)NCCc2nc(=O)c3ccccc3[nH]2)C1(C)C
199,EOS2698,-6.977,CC(C)(C)CC(NC[C@@H]1[C@H]2CNC[C@H]21)c1cccnc1
200,EOS2699,-7.579,COCCN(C)C(=O)NCc1nc2cc(C(F)(F)F)ccc2n1C
201,EOS2700,-6.686,O=C(NCCC1CCCCN1C1CCCC1)C1(CO)CC1
202,EOS2167,-7.12,CC(Oc1ccccc1Cl)C(=O)NCCCN1CCOCC1
203,EOS2702,-6.447,CCOC(C)(C)C(=O)NCCN1CCCCC1CO
