Molecule,Score
CCNC(=O)Nc1cccc(C)c1,-5.883
CNC(=O)CSc1ccccn1,-5.247
Cc1cc(C(=O)N2CCNC(=O)C2)nn1C(C)(C)C,-6.901
CC1(C)CC(NC(=O)C(=O)Nc2ccc(Cl)cc2)CC(C)(C)N1,-8.046
Cc1ccccc1C(=O)NC1CCCCNC1=O,-11.512
Cc1ncc(CO)cn1,-4.864
O=S1(=O)CCCCN1,-4.818
CCOc1cc(C)[nH]n1,-4.922
CCCNC(=O)c1sccc1C,-5.254
O=C1NCC2(CCNCC2)O1,-5.836
Cc1cc(=O)c(O)co1,-5.048
CN(C(=O)CO)C1CC1,-5.138
Cc1cccc(CO)n1,-5.092
CC(N)CC(=O)Nc1ccccc1,-5.773
O=S1(=O)C[C@@H]2CNC[C@@H]2C1,-5.409
CNCc1ccc(C(=O)NC)o1,-5.694
O[C@@H]1CNC[C@@H]1Oc1ccccc1,-6.21
O=C1NC(=O)C2(CCOc3ccccc32)N1,-7.886
Cc1nn(C)c(C)c1N,-4.855
CC(=O)c1ccc(O)c(C)c1,-5.933
CC(=O)C(O)NC1CCSC1,-5.255
CNC(=O)N1CCC2(C)C(C1)C2(F)F,-6.414
CCN(Cc1ccccc1N)C(C)=O,-5.709
Cc1ccc(C(C)CC(=O)O)cc1,-6.114
O=C(c1ccc(F)cc1)N1CCCC1,-6.247
O=C(NCc1cccs1)NC1CCCC1,-6.044
CCN(C)C(=O)NC1CCN(C(C)=O)C1,-5.664
CCOC(=O)NCc1ccccc1,-5.686
FC1CCN(C2CNC2)C1,-5.061
CSC1CNCC1N(C)C,-4.557
CN(C)C1CCNC1=O,-4.597
CCC1CNCC(CC)O1,-5.023
CNC1CCOCC1OC,-4.9
Cn1nccc1N1CCCC(N)C1=O,-6.448
CCN1CCC(NC2CC2)CC1,-5.17
NCCc1ccccn1,-4.725
C1COC(COC2CCNCC2)C1,-5.489
CC1CNCc2c[nH]nc21,-5.53
CNCc1nccs1,-4.038
COc1ccc(F)cc1CO,-5.356
CNCC1CCOCC1,-4.625
CSC(=N)N,-3.605
CC(C)(C)OC1CCNCC1,-5.136
c1ccc(NC2CCC2)cc1,-5.318
C[C@@]1(C(N)=O)CCCN1,-5.362
NCC(CN)c1ccccc1,-5.518
NCC1CC(=O)N(c2ccc(Cl)cc2)C1,-6.174
CC(N)(CN)c1ccccc1,-5.898
Cn1ccnc1SCCN,-4.862
CCC1CCc2ccccc2N1,-6.36
NCC1(O)CCN(Cc2ccccc2)C1,-6.619
O=C(NCCCc1ccccc1)NC1CCCCC1,-7.204
CCNC(=O)C1CNC1,-5.174
CNC(C)(C)c1ccc2c(c1)OCO2,-6.1
Cc1n[nH]c(C)c1CC(C)N,-5.528
COc1ccc(F)cc1,-5.265
CC(C)(N)c1c[nH]nn1,-5.284
CC(C)(N)c1ncccn1,-5.217
CC(=O)NC1Cc2ccccc2C1,-6.204
NCc1cccc(CO)c1,-5.319
CC(=O)N[C@@H]1c2ccccc2C[C@@H]1O,-6.87
CNC(=O)NC1CCOC2(CCSC2)C1,-6.088
OCc1sccc1Cl,-4.42
CNC1(C#N)CCOC1,-4.635
CCOC1CC(NC)C1,-4.534
Cc1ccc(F)cc1F,-5.27
CC(C)(O)Cc1ccccc1F,-5.856
Cc1ccc(CCO)o1,-5.035
CCn1ccnc1C(N)C1CCOCC1,-5.987
CNCC(=O)NC1CC1,-4.58
NCc1ccnc(OC2CCCCC2)c1,-6.34
OCCc1ccccc1C(F)(F)F,-6.034
NCC(CO)C1CCC1,-4.742
CC(C)C(N)C1(CO)CCCC1,-5.667
CCCNC(=O)c1cnn(C)c1C,-5.808
C=Cc1ccc(F)cc1,-5.119
NCCCN1C(=O)COc2ccccc21,-6.471
N[C@H]1CCC[C@@H]1O,-4.864
CNC(=O)CSC1CCCC1,-4.721
NCCNC(=O)c1ccc(O)cc1,-5.92
CN1CC(CN)C1,-4.343
CNCCC1CCCO1,-4.189
CC(C)(O)CNC1CC1,-4.556
CCNC1CNC1,-4.007
NC(=O)C1(N)Cc2ccccc2C1,-6.59
NC(=O)CC1CCCC1,-4.836
FC(F)(F)COc1ccccc1,-5.911
CCN(C)C(=O)C1CSCN1,-4.934
CC(O)CNC(=O)Nc1ccccc1,-5.897
CNCCN1CCOCC1,-4.525
CNC(=O)CC1CCOc2ccccc21,-6.801
CC(C)NC1CC1,-4.112
CC(=O)NCc1ccon1,-5.536
CC(C)N1CC(O)C1,-4.304
CC(C)NC(=O)Cn1cc(Br)ccc1=O,-6.109
COC1(C)CNC1,-3.963
NC1CCOCC1,-4.036
O=C(NCC1CC1)c1ccccc1,-5.717
CCC(=O)NC(C)c1cccs1,-5.33
CNC(=O)c1cccc(F)c1,-5.673
NC(C1CCC1)C1CC1,-4.654
CNC(=O)C1CCCO1,-4.763
OCc1ccccc1,-5.168
CC1CC(N)CC(C)N1,-5.121
CC(NC(N)=O)C1CC1,-4.808
OC1CCNCC1,-4.729
Cc1c[nH]c(CO)n1,-4.718
CNC(=O)C1CC1c1cccc(Br)c1,-6.299
NCC1CC(O)C1,-4.293
OCc1c[nH]nn1,-4.645
Cc1cccc(O)c1,-5.227
NC(=O)C1(N)CC1,-4.53
NC1CCNC1=O,-5.057
CC1CNC(=O)O1,-4.427
Cn1ccnc1CO,-4.261
CNC1CCCC1,-4.339
CN1CCC(N)C1,-4.241
NCc1cocn1,-4.295
CC1CNCC(O)C1,-4.719
CC1CC(O)CN1,-4.95
NCc1cn[nH]c1,-4.473
CC1(C)COCCN1,-4.469
C1CNCCOC1,-9.267
CNC1CC(F)(F)C1,-4.606
NC1=NCCCN1,-4.182
CC1(C)CC1(C)N,-4.166
CC1CCC(C)N1,-4.487
OC1CC2CCC1C2,-4.569
CNC1CC(O)C1,-4.478
Cc1c(C[N+](C)(C)C)n2ccccc2[n+]1C,-5.943
Cc1ccsc1CN(C)CC(=O)N(CCC(N)=O)c1ccccc1,-6.546
Clc1c(Br)nnc2ccccc12,-6.493
Cc1cc(C(=O)N2CCCC(c3nc(C)c(C)s3)C2)cnn1,-8.412
Cc1nc(CNC(=O)NCC(Cc2ccccc2)N(C)C)sc1C,-7.785
Cn1cncc1CNC1CC(C)(C)NC(C)(C)C1,-7.216
CCNC(=O)N1CCC(NC(=O)NCc2nc(C(C)(C)C)co2)C1,-7.48
CC(=O)c1cccc(NC(=O)CC2CCCC2)c1,-7.189
CC(C)N1CCN(C(=O)NC2CCn3ccnc32)CC1=O,-7.674
CC(C)OCCOC[C@@H](O)CN(C)Cc1nc2ccccc2o1,-6.757
C[C@@H](CNC(=O)CS(=O)(=O)CCCc1ccccc1)N1CCCCC1=O,-8.057
Cn1[nH]c(=NCCc2cccs2)c(=O)n(C)c1=O,-7.08
C[C@H](O)CN1CCN(C(=O)c2ccc(Br)o2)CC1,-6.646
CCN(C)c1ccccc1NC(=O)C[C@H]1CCS(=O)(=O)C1,-7.107
CC(NC(=O)NCc1ccc(Cl)cc1)c1nnc2n1CCC2,-8.318
CCC(CC)(CCO)CNC(=O)NCCN1CCCC[C@@H]1C,-7.007
C[C@]1(NC(=O)CNc2ccccc2)CCS(=O)(=O)C1,-7.031
C[C@@H](CNC(=O)NCc1cc(Cl)ccn1)N1CCOCC1,-7.327
Cc1c(O)n(-c2cccc(Cl)c2Cl)c(=O)n1C1CCC1,-7.632
CN(CCCNC(=O)Nc1cccc(C(=O)N2CCOCC2)c1)CC(F)(F)F,-8.641
Cc1cc(OC[C@@H](O)CN2CCN(CCO)CC2)cc(C)c1Cl,-7.567
CC(C)NC(=O)C1CC1c1ccc2c(c1)OCCO2,-7.128
CCC[C@H](C)NC(=O)CCN1C(=O)c2ccccc2C1=O,-6.753
COc1ccc(NC(=O)NC[C@H](C)N2CCCC2)cn1,-6.95
COCCn1cc(C(O)NCc2ccccn2)cc1O,-7.155
COc1ccccc1OCCNC(=O)c1ccc(F)cc1,-7.414
Cc1ccccc1N1CCN(CC(=O)NC(=O)NC(C)C)CC1,-8.247
CCc1ccc(NCC(F)(F)F)cc1,-6.033
ON=Cc1ccc(I)o1,-5.082
O=C(Cc1ccccc1)NC(Cc1ccccc1)C(=O)N1CCCCC1,-8.271
CCN(CC)C(=O)NC1CCN(C(=O)C(C)(C)C)CC1,-6.806
CC(C)Oc1cccc(N2CCN(C(C)C)CC2)n1,-6.985
COCc1ccc(C(=O)N(C)CCOc2ccccc2)o1,-6.335
C[C@H]1c2cccn2CCN1C(=O)CC1CCCCC1,-7.095
Cc1ncccc1CNCC1CCN(C[C@H](C)O)CC1,-6.987
CCCS(=O)(=O)NCC1CC2C=CC1C2,-5.915
Cn1c(C(=O)NCc2ccco2)cc2c(=O)n3ccccc3nc21,-9.146
CC(=O)c1ccccc1OCC(=O)N1CCOCC1,-7.368
CN(C)[C@@H](Cn1c(O)cn(C2CC2)c1=O)c1ccccc1,-6.846
CCc1cc(C)nc(-c2ccc(OC)cc2)n1,-6.449
COc1ccc([C@@H](NC(=O)CN(C2CC2)C(C)(C)CO)C(C)C)cc1,-6.93
COc1ccccc1OCC(O)CN(Cc1ccc(C)cc1)C1CCS(=O)(=O)C1,-7.775
CCCN(CCC)CCCNC(=O)CCNC(=O)Cn1cnc2ccccc2c1=O,-7.57
COCCCNC(=O)CCc1c(C)nc2cc(-c3ccccc3)nn2c1C,-7.762
CC[C@H](O)CN1CCN(C(=O)c2csc(Br)c2)CC1,-6.804
Cc1cccn2c(=O)c3cc(C(=O)N(C)C)n(C)c3nc12,-8.089
CCOCCCNC(=O)CCc1nnc2ccc(N3CCN(C)CC3)nn12,-7.264
CN(C)CCNC(=O)c1cc2n(n1)CC(C)(C(=O)NCc1ccccc1)N(C)C2=O,-8.178
COCc1ccccc1CNC(=O)CN(C)[C@H]1CCS(=O)(=O)C1,-7.582
COCCn1cc(C(O)NCc2ccc(C)cc2)cc1O,-7.425
CCN(C)CCNC(O)c1cc(O)n(-c2cc(OC)ccc2OC)c1,-7.194
CCN(C)CCNC(O)c1cc(O)n(-c2ccc(OC)cc2OC)c1,-7.13
CC(Oc1ccccc1)C(=O)NCCN1CCOCC1,-6.494
Cc1cccc(C)c1NC(O)c1cc(O)n(C2CCCCC2)c1,-7.805
