,Molecule,Score,admetlab_smiles
2260,CC(C)COc1ccc(C(=O)NCC(c2ccco2)N(C)C)cc1,-7.077,CC(C)COc1ccc(C(=O)NCC(c2ccco2)N(C)C)cc1
2261,Cc1nccn1CCNC(=O)CN1C(=O)C2(CCCCC2)C1c1ccccc1,-8.722,Cc1nccn1CCNC(=O)CN1C(=O)C2(CCCCC2)C1c1ccccc1
2262,O=C(CN1CCOCC1)N1CCC(N2CC3(CCCCC3)C2c2ccncc2)CC1,-9.963,O=C(CN1CCOCC1)N1CCC(N2CC3(CCCCC3)C2c2ccncc2)CC1
2263,CNC(=O)CN(C)C(=O)c1cc2c(s1)CCN(C(=O)c1ccc(Cl)cc1)C2,-8.603,CNC(=O)CN(C)C(=O)c1cc2c(s1)CCN(C(=O)c1ccc(Cl)cc1)C2
2264,COc1cccc(CN2CCC3(CC2)CC(C(=O)NCc2ccccn2)N(C)C3)n1,-8.679,COc1cccc(CN2CCC3(CC2)CC(C(=O)NCc2ccccn2)N(C)C3)n1
2265,CCN(CC)C1(c2nnnn2C2CCCC2)CCN(C(=O)Cn2ccnc2C)C1,-7.926,CCN(CC)C1(c2nnnn2C2CCCC2)CCN(C(=O)Cn2ccnc2C)C1
2266,NC(=O)COC1CCC12CCN(C(=O)c1ccc(F)cn1)CC2,-7.758,NC(=O)COC1CCC12CCN(C(=O)c1ccc(F)cn1)CC2
2267,O=C1CN(C(=O)C2OCCN(C3CCCC3)[C@H]2c2ccccc2)CCN1,-7.922,O=C1CN(C(=O)C2OCCN(C3CCCC3)[C@H]2c2ccccc2)CCN1
2268,CCCNC(=O)C1(C)COCc2nnc(C(C)C)n21,-7.649,CCCNC(=O)C1(C)COCc2nnc(C(C)C)n21
2269,COCCC1(NC(=O)c2ccccc2)CCN(C(=O)CCC2CCCC2)CC1,-8.002,COCCC1(NC(=O)c2ccccc2)CCN(C(=O)CCC2CCCC2)CC1
2270,COc1ccc(CNC(=O)N2CCC(Cc3ncc(C)n3C3CC3)C2)cc1,-8.247,COc1ccc(CNC(=O)N2CCC(Cc3ncc(C)n3C3CC3)C2)cc1
2271,Cc1cc(C(=O)N2CC3(C2)CC(C)(O)CO3)c(C)n1Cc1ccc(F)cc1,-9.155,Cc1cc(C(=O)N2CC3(C2)CC(C)(O)CO3)c(C)n1Cc1ccc(F)cc1
2272,CCC(CC)C(=O)NCC(c1ccccc1OC)N(C)C,-6.25,CCC(CC)C(=O)NCC(c1ccccc1OC)N(C)C
