Molecule,Score
EOS28870,-6.416
EOS28874,-6.905
EOS28876,-8.031
EOS28877,-7.619
EOS28441,-7.285
EOS28879,-7.58
EOS28881,-6.644
EOS28892,-7.53
EOS29231,-6.813
EOS29234,-7.678
EOS29238,-6.338
EOS28905,-6.749
EOS28907,-7.791
EOS29245,-6.532
EOS29246,-6.997
EOS29255,-7.963
EOS28926,-8.816
EOS29266,-7.526
EOS29269,-7.601
EOS28930,-6.891
EOS28933,-7.921
EOS29286,-7.788
EOS28953,-6.875
EOS29306,-5.719
EOS29309,-7.655
EOS28967,-7.678
EOS28470,-7.709
EOS29316,-8.252
EOS28472,-7.169
EOS28980,-6.069
EOS28985,-6.167
EOS28475,-7.482
EOS28987,-6.988
EOS29337,-7.663
EOS29341,-7.676
EOS29351,-7.517
EOS29006,-7.204
EOS29358,-6.177
EOS28483,-5.889
EOS29363,-5.716
EOS29369,-8.111
EOS29387,-8.264
EOS29376,-7.94
EOS29391,-8.176
EOS29394,-7.67
EOS28488,-7.763
EOS29757,-7.703
EOS29413,-7.885
EOS29763,-12.551
EOS29415,-6.698
EOS29418,-6.818
EOS29422,-7.714
EOS28496,-6.983
EOS29426,-8.162
EOS29436,-6.64
EOS29785,-6.464
EOS29442,-10.042
EOS29791,-7.424
EOS29447,-8.236
EOS29792,-7.03
EOS29455,-8.132
EOS29457,-8.943
EOS29458,-7.366
EOS29801,-8.053
EOS29459,-7.625
EOS28503,-8.952
EOS29807,-8.644
EOS29464,-7.606
EOS28505,-7.069
EOS29810,-8.308
EOS29469,-5.828
EOS28506,-7.382
EOS29817,-7.218
EOS29478,-8.022
EOS29822,-8.231
EOS29823,-5.748
EOS29484,-8.674
EOS29487,-7.293
EOS29488,-7.821
EOS29489,-7.945
EOS29492,-7.489
EOS29835,-7.737
EOS29839,-11.946
EOS29500,-8.744
EOS29501,-8.118
EOS29848,-6.173
EOS29510,-8.226
EOS29511,-7.575
EOS29851,-6.769
EOS29852,-7.907
EOS29526,-5.246
EOS29870,-8.988
EOS29534,-7.134
EOS29538,-9.307
EOS29882,-7.27
EOS29888,-8.523
EOS29890,-6.632
EOS29547,-8.252
EOS29550,-11.754
EOS29551,-7.493
EOS29552,-6.526
EOS29553,-6.917
EOS29556,-6.455
EOS29905,-7.037
EOS29917,-6.937
EOS29925,-11.283
EOS29929,-7.05
EOS29583,-6.136
EOS29934,-7.843
EOS28538,-7.801
EOS29936,-7.19
EOS29938,-7.774
EOS29592,-7.076
EOS29940,-8.507
EOS29601,-10.719
EOS29950,-7.499
EOS29605,-6.904
EOS29952,-7.798
EOS29961,-7.03
EOS29964,-11.449
EOS29619,-7.207
EOS29968,-12.854
EOS29623,-7.553
EOS29977,-7.657
EOS29985,-7.712
EOS29646,-7.352
EOS29653,-6.299
EOS30001,-7.979
EOS29657,-6.775
EOS30006,-7.121
EOS30009,-7.023
EOS30010,-7.413
EOS30016,-8.199
EOS28565,-7.477
EOS30022,-6.138
EOS29678,-7.961
EOS29682,-7.154
EOS29685,-6.02
EOS29686,-5.984
EOS30034,-8.074
EOS29689,-6.468
EOS30041,-7.798
EOS29696,-6.853
EOS30045,-8.163
EOS30049,-7.918
EOS28574,-11.628
EOS29709,-7.228
EOS28575,-6.51
EOS30078,-6.173
EOS29733,-7.014
EOS30086,-11.848
EOS30088,-7.163
EOS28582,-8.156
EOS30091,-8.191
EOS29739,-7.521
EOS28583,-6.137
EOS29742,-8.007
EOS30103,-7.01
EOS30111,-7.169
EOS30106,-12.093
EOS28588,-6.762
EOS30480,-6.399
EOS30484,-7.719
EOS30128,-11.326
EOS30130,-6.412
EOS30491,-6.569
EOS30492,-8.406
EOS30135,-7.718
EOS30505,-7.043
EOS30140,-7.536
EOS30161,-6.631
EOS30526,-6.911
EOS30530,-7.837
EOS30166,-6.701
EOS28601,-7.349
EOS30538,-6.329
EOS30546,-7.748
EOS30189,-11.026
EOS30557,-6.83
EOS30196,-6.932
EOS30566,-10.317
EOS30568,-7.737
EOS30570,-6.87
EOS30212,-6.578
EOS30214,-7.465
EOS30215,-6.78
EOS30588,-8.14
EOS30223,-7.049
EOS28620,-6.822
EOS30250,-6.667
EOS30613,-8.728
EOS28629,-5.88
EOS30626,-8.059
EOS30271,-12.368
EOS30643,-7.564
EOS30645,-6.655
EOS28637,-7.398
EOS28643,-12.589
EOS30669,-7.502
EOS30671,-6.42
EOS30675,-12.033
EOS30315,-5.241
EOS30323,-8.17
EOS30331,-7.704
EOS30333,-7.381
EOS30336,-7.728
EOS30692,-7.277
EOS30715,-12.667
EOS30719,-7.913
EOS30365,-7.135
EOS30727,-6.734
EOS30730,-7.484
EOS30732,-7.863
EOS30733,-7.701
EOS30377,-7.427
EOS30743,-8.187
EOS30745,-7.553
EOS30752,-6.329
EOS30395,-7.169
EOS30779,-6.754
EOS30783,-7.829
EOS30784,-7.319
EOS30430,-7.352
EOS30444,-7.986
EOS30465,-12.258
EOS30826,-6.332
EOS30827,-7.909
EOS30471,-8.096
EOS30832,-8.336
EOS31222,-7.876
EOS31587,-7.778
EOS31231,-6.881
EOS31237,-6.694
EOS31239,-6.386
EOS31599,-7.121
EOS31600,-6.485
EOS31604,-6.814
EOS31605,-7.581
EOS31246,-7.344
EOS31608,-6.854
EOS31251,-8.078
EOS31254,-7.387
EOS31617,-7.899
EOS31264,-8.032
EOS31268,-8.123
EOS31628,-6.641
EOS30916,-7.331
EOS31630,-7.871
EOS31274,-8.623
EOS31633,-7.363
EOS31284,-8.166
EOS31289,-6.715
EOS31649,-7.205
EOS31293,-7.365
EOS31294,-7.587
EOS31653,-7.659
EOS31298,-7.641
EOS31655,-6.096
EOS31658,-6.501
EOS31306,-7.227
EOS30927,-7.314
EOS31311,-6.807
EOS31321,-7.821
EOS31322,-7.451
EOS31327,-7.966
EOS31330,-7.288
EOS31334,-7.723
EOS30934,-7.61
EOS31709,-7.128
EOS31723,-7.603
EOS30947,-7.616
EOS31381,-7.038
EOS31385,-6.303
EOS31743,-7.534
EOS31744,-8.654
EOS31403,-6.413
EOS31748,-7.591
EOS30955,-7.674
EOS31759,-7.278
EOS31763,-6.916
EOS31764,-6.458
EOS31768,-7.02
EOS31770,-7.684
EOS31775,-6.133
EOS31430,-7.146
EOS30964,-5.88
EOS31448,-7.125
EOS30971,-8.312
EOS31469,-10.289
EOS31813,-8.037
EOS31472,-7.317
EOS31475,-9.044
EOS31831,-8.053
EOS31834,-7.358
EOS31836,-8.728
EOS31501,-6.403
EOS30986,-10.151
EOS31517,-7.842
EOS31519,-8.031
EOS31866,-7.084
EOS31873,-7.161
EOS31533,-8.216
EOS31542,-7.72
EOS31546,-7.106
EOS31893,-7.421
EOS31894,-7.303
EOS31551,-7.651
EOS31000,-7.202
EOS31906,-8.085
EOS31911,-6.235
EOS31914,-7.372
EOS31925,-11.216
EOS31005,-11.289
EOS31934,-7.573
EOS31939,-6.928
EOS31008,-7.222
EOS31960,-7.455
EOS32317,-6.759
EOS32326,-7.439
EOS32337,-8.694
EOS32005,-6.659
EOS32008,-8.338
EOS32011,-7.834
EOS32346,-7.467
EOS32017,-6.863
EOS32018,-6.744
EOS32024,-7.283
EOS32036,-7.6
EOS32370,-8.505
EOS31027,-5.853
EOS32042,-6.321
EOS32372,-7.402
EOS32375,-6.397
EOS32046,-7.933
EOS32047,-6.837
EOS32383,-7.415
EOS32059,-7.127
EOS32070,-7.563
EOS32422,-7.47
EOS32425,-7.702
EOS32443,-7.373
EOS32445,-8.521
EOS31052,-6.66
EOS32114,-6.19
EOS32115,-7.498
EOS32463,-6.966
EOS32467,-6.696
EOS31061,-7.631
EOS31062,-6.478
EOS32485,-6.303
EOS32486,-6.862
EOS32143,-7.607
EOS32493,-11.66
EOS32147,-6.583
EOS32148,-10.316
EOS32500,-10.073
EOS32505,-7.799
EOS31070,-6.116
EOS32518,-7.849
EOS32525,-7.203
EOS32176,-6.594
EOS32529,-7.578
EOS32184,-7.952
EOS32543,-6.489
EOS31078,-6.905
EOS32552,-7.859
EOS32553,-7.762
EOS32208,-7.481
EOS32558,-6.386
EOS32561,-7.381
EOS32218,-8.584
EOS32566,-12.063
EOS32226,-7.16
EOS32579,-7.348
EOS32233,-8.031
EOS32581,-7.613
EOS32586,-12.041
EOS32587,-7.685
EOS32247,-7.831
EOS31095,-8.58
EOS32277,-12.391
EOS32639,-6.878
EOS32640,-6.898
EOS32292,-8.15
EOS32644,-7.664
EOS32295,-5.807
EOS32300,-8.564
EOS31113,-7.747
EOS32674,-8.051
EOS32677,-6.769
EOS32669,-11.895
EOS32670,-8.624
EOS32671,-7.53
EOS32685,-11.167
EOS33041,-7.88
EOS32699,-7.22
EOS33049,-7.659
EOS31125,-7.717
EOS32711,-6.99
EOS33056,-7.05
EOS31126,-7.171
EOS33072,-7.52
EOS31133,-8.982
EOS32744,-10.949
EOS33108,-7.073
EOS33110,-7.174
EOS32770,-6.645
EOS33113,-7.44
EOS32773,-7.438
EOS33118,-8.096
EOS32775,-7.659
EOS32786,-7.572
EOS33141,-7.078
EOS32802,-6.522
EOS32805,-6.913
EOS32812,-7.082
EOS32817,-7.868
EOS32818,-11.169
EOS32820,-7.623
EOS32826,-7.037
EOS33174,-10.608
EOS33176,-7.864
EOS33188,-7.274
EOS32853,-8.628
EOS32858,-7.558
EOS32859,-7.831
EOS31167,-12.029
EOS32864,-8.059
EOS33214,-7.326
EOS31173,-7.823
EOS33218,-7.724
EOS32881,-7.578
EOS32885,-6.706
EOS32892,-7.179
EOS33248,-7.721
EOS33250,-7.227
EOS33251,-7.272
EOS32914,-7.186
EOS33252,-7.205
EOS31186,-7.069
EOS33255,-6.807
EOS31192,-7.779
EOS31193,-12.264
EOS32939,-6.506
EOS31196,-7.7
EOS33286,-6.72
EOS33291,-7.803
EOS32963,-6.977
EOS31201,-7.875
EOS33304,-8.281
EOS31204,-7.455
EOS33320,-6.402
EOS33321,-8.079
EOS32992,-7.884
EOS32997,-7.467
EOS33323,-7.472
EOS33326,-7.359
EOS33327,-7.572
EOS33332,-7.272
EOS33337,-7.74
EOS33345,-7.195
EOS33007,-6.644
EOS33009,-7.657
EOS33350,-6.91
EOS33356,-8.561
EOS33361,-7.054
EOS33363,-8.027
